UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-GYBRK,Ford,Transit,Transit 500 Leader EcoBlue,NULL,V363,44652,NULL,Diesel,HCV,NULL,Panel Van,NULL,5000,ICE,1996,2,Turbocharged,125,167,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-GYVPA,Ford,Ranger,Ranger Limited Edition EcoBlue 4x4 Auto,5,P375,43608,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,10,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-HBFGA,Citroen,Relay,Relay 40 L4H2 Blue HDi S/S,NULL,X2-50,44084,NULL,Diesel,HCV,NULL,Window Van,NULL,4005,ICE,2179,2.2,Turbocharged,103,138,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-HGFXZ,Ford,Ranger,Ranger XL EcoBlue 4x4,5,P375,43646,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,90
M-HKTWH,Ford,Ranger,Ranger XL EcoBlue 4x4,5,P375,43668,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-HYGZV,Peugeot,Boxer,Boxer 335 TL Blue HDi ,NULL,X2-50,43817,NULL,Diesel,HCV,NULL,Motor Caravan,NULL,4005,ICE,2179,2.2,Turbocharged,121,162,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,91
M-JCASV,Ford,Ranger,Ranger XLT EcoBlue 4x4,5,P375,43691,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-JCHRH,Isuzu,D-Max,D-Max DL20,3,TER,44278,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,86
M-JLHDB,Iveco,Daily,Daily 50C18V,NULL,MY2014,42718,NULL,Diesel,HCV,NULL,NULL,NULL,5200,ICE,3000,3,Turbocharged,132,177,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,91
M-JQTLP,Ford,Ranger,Ranger XL EcoBlue 4x4,5,P375,43662,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-JXFKK,Ford,Ranger,Ranger XL EcoBlue 4x4,5,P375,43553,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3200,ICE,1996,2,Turbocharged,95,128,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-JYWBK,Mercedes-Benz,Sprinter,Sprinter 519 CDi Auto,3,VS30,43413,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,5000,ICE,2987,3,Turbocharged,140,190,NULL,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,85
M-KDQTL,Ford,Transit,Transit 470 Leader EcoBlue,NULL,V363,44287,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,4700,ICE,1996,2,Turbocharged,125,167,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-KSJTC,Ford,Ranger,Ranger XL EcoBlue 4x4,NULL,P375,44454,NULL,Diesel,Pickup,Standard Roof,Chassis Cab,3,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,90
M-LKHLN,Ford,Transit,Transit 460 Leader EcoBlue Auto,NULL,V363,44771,NULL,Diesel,PSV,NULL,Minibus,NULL,4600,ICE,1996,2,Turbocharged,125,167,NULL,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,88
M-LSYZR,Volkswagen,Crafter,Crafter CR40 Startline TDI,NULL,NF,45107,NULL,Diesel,HCV,NULL,Panel Van,NULL,4000,ICE,1968,2,Turbocharged,130,174,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,71
M-LTXSX,Toyota,Hilux,HI-Luxury Active D-4D 4WD ECB,NULL,H6L,44573,NULL,Diesel,Pickup,Standard Roof,Pick Up,5,3150,ICE,2393,2.4,Turbocharged,110,147,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,90
M-LVRHH,Fiat,Ducato,DUCATO 42 MAXI MULTIJET III A,NULL,290/295,44880,NULL,Diesel,HCV,NULL,Panel Van,NULL,4250,ICE,2184,2.2,Turbocharged,134,180,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,91
M-LWFPX,Fiat,Ducato,Ducato 42 Maxi MultiJet III,NULL,290/295,44720,NULL,Diesel,HCV,NULL,Window Van,NULL,4250,ICE,2184,2.2,Turbocharged,104,140,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-LWGPS,Fiat,Ducato,Ducato 42 Maxi MultiJet Power,NULL,290/295,44595,NULL,Diesel,HCV,NULL,Panel Van,NULL,4250,ICE,2184,2.2,Turbocharged,134,180,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-LWPDT,Ford,Ranger,Ranger XLT EcoBlue 4x4 Auto,NULL,P375,44572,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,156,209,10,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-LWRHL,Peugeot,Boxer,Boxer 440 Blue HDi ,NULL,X2-50,44628,NULL,Diesel,HCV,NULL,NULL,NULL,4005,ICE,2179,2.2,Turbocharged,103,138,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-LXFXE,Fiat,Ducato,Ducato 42 Maxi MultiJet Power,NULL,290/295,44539,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,4250,ICE,2184,2.2,Turbocharged,134,180,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-LXKZQ,Fiat,Ducato,Ducato 42 Maxi MultiJet III,NULL,290/295,44978,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,4250,ICE,2184,2.2,Turbocharged,119,160,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,125
M-LYHSK,Toyota,Hilux,HI-Luxury Icon D-4D 4WD Double Cab,NULL,H6L,44566,NULL,Diesel,Pickup,Standard Roof,Pick Up,5,3210,ICE,2393,2.4,Turbocharged,110,147,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,89
M-NAADG,Ford,Fiesta,Fiesta Trend T,NULL,B479,44628,NULL,Petrol,CDV,Low Roof,Car Derived Van,3,1690,ICE,999,1,Turbocharged,75,98,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-NABDF,Fiat,Ducato,Ducato 42 Tecnico Maxi MultiJet III,NULL,290/295,45016,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,4250,ICE,2184,2.2,Turbocharged,119,160,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-NACYD,Peugeot,Boxer,Boxer 335 Blue HDi ,NULL,X2-50,44652,NULL,Diesel,HCV,NULL,NULL,NULL,3505,ICE,2179,2.2,Turbocharged,103,138,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-NBHFC,Ford,Transit,E-Transit 425 Trend,NULL,V363,44742,NULL,Electric,HCV,NULL,Panel Van,NULL,4250,BEV,NULL,NULL,N/A,198,265,NULL,Automatic,4x2,Rear,68,BEV,Current,TRUE,94
M-NBJAA,Ford,Transit,E-Transit 390 Trend,NULL,V363,45096,NULL,Electric,HCV,NULL,Panel Van,NULL,3900,BEV,NULL,NULL,N/A,135,181,NULL,Automatic,4x2,Rear,NULL,BEV,Current,TRUE,88
M-NBJFJ,Ford,Transit,E-Transit 390 Trend,NULL,V363,45044,NULL,Electric,HCV,NULL,Panel Van,NULL,3900,BEV,NULL,NULL,N/A,198,265,NULL,Automatic,4x2,Rear,NULL,BEV,Current,TRUE,94
M-NDXPR,CFMOTO,M/C Unspecified 126-650cc,M/C UNSPEC 126 - 650 CC,NULL,M/C UNSPEC 126 - 650 CC,44594,NULL,Petrol,Motorcycle,NULL,NULL,NULL,NULL,ICE,650,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NDXQJ,Triumph,Tiger 900 GT Pro,TIGER 900 GT PRO,NULL,TIGER 900 GT PRO,43822,NULL,Petrol,Motorcycle,NULL,Adventure,NULL,NULL,ICE,888,0.9,NULL,70,93,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDXVQ,AJP,PR3 240 Enduro Pro,PR3 240 ENDURO PRO,NULL,PR3 240 ENDURO PRO,43762,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,233,0.2,NULL,8,10,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NDXYP,Piaggio,Vespa GTS 125 Touring,VESPA GTS 125 TOURING,NULL,VESPA GTS 125 TOURING,44644,NULL,Petrol,Motorcycle,NULL,Scooter,NULL,NULL,ICE,125,0.1,NULL,10,13,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDXZT,Piaggio,Vespa Sprint 125 ABS,VESPA SPRINT 125 ABS,NULL,VESPA SPRINT 125 ABS,42107,NULL,Petrol,Motorcycle,NULL,Scooter,NULL,NULL,ICE,124,0.1,NULL,8,10,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NDYGF,Piaggio,NRG Power 50 DD,NRG 50,NULL,NRG 50,43270,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NDYPT,Kawasaki,ZR 750,Z750,NULL,Z750,42605,NULL,Petrol,Motorcycle,NULL,Naked,NULL,NULL,ICE,748,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NDYSC,Energica,Motorcycle Unspecified,M/C UNSPEC,NULL,M/C UNSPEC,42844,NULL,Electric,Motorcycle,NULL,NULL,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,21
M-NDYVC,Montesa,MRT 300 J,MRT 300 J,NULL,MRT 300 J,43916,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,288,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NDYXC,Aprilia,SR GT 125,SR GT 125,NULL,SR GT 125,44638,NULL,Petrol,Motorcycle,NULL,Scooter,NULL,NULL,ICE,125,0.1,NULL,11,14,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NDYYS,Montesa,4RIDE,4RIDE,NULL,4RIDE,43869,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,259,0.3,NULL,6,8,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NDYZC,Sunra,Miku Super,MIKU SUPER,NULL,MIKU SUPER,44638,NULL,Electric,Motorcycle,NULL,Naked,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,22
M-NDZAJ,Horwin,EK3 DS+,EK3,NULL,EK3,44406,NULL,Electric,Motorcycle,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NDZAY,Rieju,MRT3 50,MRT 50,NULL,MRT 50,43200,NULL,Petrol,Moped,NULL,Competition,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NDZBH,Aprilia,Tuono V4 1100,TUONO V4 1100,NULL,TUONO V4 1100,44341,NULL,Petrol,Motorcycle,NULL,Naked,NULL,NULL,ICE,1077,1.1,NULL,129,172,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDZBS,Fantic Motor,FA06 XE 50 Performance,XE 50,NULL,XE 50,44485,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDZCG,Ducati,StreetFighter V4 SP,STREETFIGHTER V4,NULL,STREETFIGHTER V4,44638,NULL,Petrol,Motorcycle,NULL,Naked,NULL,NULL,ICE,1103,1.1,NULL,153,205,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDZGC,Aprilia,RX 125,RX 125,NULL,RX 125,44285,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,124,0.1,NULL,11,14,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NDZHS,Harley-Davidson,FLHXSE CVO SGlide 1923 22,CVO STREET GLIDE 1923,NULL,CVO STREET GLIDE 1923,44708,NULL,Petrol,Motorcycle,NULL,Touring,NULL,NULL,ICE,1923,1.9,NULL,77,103,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NDZLX,Honda,CBR 650 RA-N,CBR 650 R,NULL,CBR 650 R,44609,NULL,Petrol,Motorcycle,NULL,Road Sport,NULL,NULL,ICE,649,0.6,NULL,70,93,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NDZWC,Zhongneng,ZN 50 QT-H,ZN 50 QT-H,NULL,ZN 50 QT-H,44670,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NEADQ,Harley-Davidson,Street XG 750 20,STREET XG 750,NULL,STREET XG 750,43697,NULL,Petrol,Motorcycle,NULL,Naked,NULL,NULL,ICE,749,0.7,NULL,43,57,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEAEB,Sakura,JS2A,JS2A,NULL,JS2A,43983,NULL,Electric,Motorcycle,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,19
M-NEAFL,Yamasaki,YMR 50-3D,YMR 50-3D,NULL,YMR 50-3D,42138,NULL,Petrol,Moped,NULL,Road Sport,NULL,NULL,ICE,49,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NEAHF,Peugeot,Django 50 Heritage 2T,DJANGO 50,NULL,DJANGO 50,42446,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEAJC,Royal Enfield,Interceptor INT 650 E5,INTERCEPTOR INT 650,NULL,INTERCEPTOR INT 650,44285,NULL,Petrol,Motorcycle,NULL,Modern Classic,NULL,NULL,ICE,648,0.6,NULL,35,46,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NEALD,Indian Motorcycle,Chieftain Classic Icon,CHIEFTAIN CLASSIC ICON,NULL,CHIEFTAIN CLASSIC ICON,43781,NULL,Petrol,Motorcycle,NULL,Touring,NULL,NULL,ICE,1811,1.8,NULL,62,83,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEAPQ,Ducati,Scrambler,SCRAMBLER,NULL,SCRAMBLER,28341,NULL,Petrol,Motorcycle,NULL,Modern Classic,NULL,NULL,ICE,803,0.8,NULL,54,72,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NEAXT,Stromer,ST3,ST5,NULL,ST5,43862,NULL,Electric,Moped,NULL,EPAC,NULL,NULL,ICE,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,22
M-NEBAW,TRS,TRS One RR 300,TRS ONE RR 300,NULL,TRS ONE RR 300,42962,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,294,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEBDA,Peugeot,Speedfight 4 50 Anniversary,SPEEDFIGHT 50,NULL,SPEEDFIGHT 50,42767,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEBDY,Kawasaki,EX 650 MMFNN,NINJA 650,NULL,NINJA 650,44323,NULL,Petrol,Motorcycle,NULL,Road Sport,NULL,NULL,ICE,649,0.6,NULL,50,67,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NEBGB,Piaggio,Moped Unspecified Scooter,MOPED UNSPEC SCOOTER,NULL,MOPED UNSPEC SCOOTER,44613,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NEBLC,KTM,1290 Super Duke R 21,1290 SUPERDUKE R,NULL,1290 SUPERDUKE R,44263,NULL,Petrol,Motorcycle,NULL,Naked,NULL,NULL,ICE,1301,1.3,NULL,132,177,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,17
M-NEBLJ,WLIE,R8,R8,NULL,R8,43689,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NEBNC,Znen,ZN 50 QT-30A,ZN 50 QT-30A,NULL,ZN 50 QT-30A,42853,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NEBRW,Zhenhua,ZH SR 50-1,ZH SR 50-1,NULL,ZH SR 50-1,42090,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,49,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NEBYG,Indian Motorcycle,Super Chief Limited,SUPER CHIEF LIMITED,NULL,SUPER CHIEF LIMITED,44359,NULL,Petrol,Motorcycle,NULL,Touring,NULL,NULL,ICE,1890,1.9,NULL,67,89,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NEBYW,Norton,Commando California,COMMANDO CALIFORNIA,NULL,COMMANDO CALIFORNIA,43601,NULL,Petrol,Motorcycle,NULL,Modern Classic,NULL,NULL,ICE,961,1,NULL,53,71,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NECFJ,Sunra,Miku Max,MIKU MAX,NULL,MIKU MAX,44866,NULL,Electric,Moped,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,22
M-NECNE,Lexmoto,Cypher,CYPHER,NULL,CYPHER,44641,NULL,Electric,Moped,NULL,Naked,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,22
M-NEDRB,Rieju,MRT 50,MRT 50,NULL,MRT 50,43060,NULL,Petrol,Moped,NULL,Competition,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NEDYN,BMW,F 900 XR A2,F 900 XR,NULL,F 900 XR,44007,NULL,Petrol,Motorcycle,NULL,Adventure,NULL,NULL,ICE,895,0.9,NULL,35,46,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NEEAP,Beta,Xtrainer,XTRAINER,NULL,XTRAINER,42095,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,293,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NEESV,Ebladet Evo,Moped Unspec Electric Scooter,MOPED UNSPEC ELECTRIC SCOOTER,NULL,MOPED UNSPEC ELECTRIC SCOOTER,44245,NULL,Electric,Moped,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,20
M-NEFEX,Derbi,Senda Xtreme SM,SENDA XTREME SM,NULL,SENDA XTREME SM,43131,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEFJY,Quadro,Quadro 4,QUADRO 4,NULL,QUADRO 4,42152,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,346,0.3,NULL,21,28,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEFQQ,Lexmoto,Milano 50 FT 50 QT-27,MILANO 50 FT 50 QT-27,NULL,MILANO 50 FT 50 QT-27,42227,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEHFT,MGB,A9 50 E5,A9 50,NULL,A9 50,44505,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,15
M-NEJSP,BRP,Can-Am Spyder F3 S,CAN-AM SPYDER F3,NULL,CAN-AM SPYDER F3,43570,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1330,1.3,NULL,83,111,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEKCC,Piaggio,MP3 500 LT Business ABS,MP3 500 LT BUSINESS,NULL,MP3 500 LT BUSINESS,43276,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,493,0.5,NULL,33,44,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEKTF,Piaggio,MP3 300 Sport,MP3 300 SPORT,NULL,MP3 300 SPORT,44642,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,278,0.3,NULL,19,25,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NELPS,Kymco,Super 8 50 E5,SUPER 8 50,NULL,SUPER 8 50,44686,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NELTZ,Piaggio,T/C Unspec Trail/End 126-650cc,T/C UNSPEC 126 - 650 CC,NULL,T/C UNSPEC 126 - 650 CC,44263,NULL,Diesel,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,650,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NENRL,Piaggio,MP3 500 HPE Sport Advanced,MP3 500 HPE SPORT ADVANCED,NULL,MP3 500 HPE SPORT ADVANCED,43606,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,493,0.5,NULL,33,44,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NERSA,BRP,Can-Am Spyder F3 S Special SER,CAN-AM SPYDER F3 S SPECIAL SER,NULL,CAN-AM SPYDER F3 S SPECIAL SER,44706,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1330,1.3,NULL,83,111,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NERSJ,AJS,F35,F35,NULL,F35,44138,NULL,Electric,Moped,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NESEY,Harley-Davidson,FLHTCUTGSE TG UL CVO 1923 20,CVO TRI GLIDE 1923,NULL,CVO TRI GLIDE 1923,43696,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1923,1.9,NULL,80,107,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NETDZ,Peugeot,Metropolis 400 TVNX,METROPOLIS 400,NULL,METROPOLIS 400,42528,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,399,0.4,NULL,27,36,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEVPZ,RAP,OAK,OAK,NULL,OAK,44469,NULL,Electric,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NEVRA,BRP,Can-Am Spyder F3 Limited,CAN-AM SPYDER F3 LIMITED,NULL,CAN-AM SPYDER F3 LIMITED,44179,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1330,1.3,NULL,83,111,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEYKS,Piaggio,Ape City,APE CITY,NULL,APE CITY,42696,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,200,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEYNS,Peugeot,Metropolis 400 ABS,METROPOLIS 400,NULL,METROPOLIS 400,42773,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,399,0.4,NULL,26,34,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEYVN,Suzuki,GSX 1300 RRQM2 Hayabusa,GSX 1300 R HAYABUSA,NULL,GSX 1300 R HAYABUSA,44239,NULL,Petrol,Motorcycle,NULL,Road Sport,NULL,NULL,ICE,1340,1.3,NULL,140,187,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NEZHF,Rieju,MRT3 50 Pro Replica 75 SM,MRT 50,NULL,MRT 50,43221,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NEZRR,Honda,MRT 260 J,MRT 260 J,NULL,MRT 260 J,43245,NULL,Petrol,Motorcycle,NULL,Competition,NULL,NULL,ICE,259,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NFACX,Champ,CM 48 Q-2,CM 48 Q-2,NULL,CM 48 Q-2,43728,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,48,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NFAEX,Horwin,EK1 Standard Range,EK1,NULL,EK1,44179,NULL,Electric,Moped,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,20
M-NFAFJ,BRP,Can-Am Ryker 600 Ace,CAN-AM RYKER 600 ACE,NULL,CAN-AM RYKER 600 ACE,43908,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,600,0.6,NULL,37,49,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFAKD,Romet Motors,YG 48 Q-5,YG 48 Q-5,NULL,YG 48 Q-5,42781,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
