UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-ANRGF,Iveco,Daily,Daily 35C14B Auto,NULL,MY2014,44106,NULL,Diesel,LCV,Standard Roof,Chassis Cab,NULL,3500,ICE,2287,2.3,Turbocharged,100,134,8,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,94
M-ANRXD,Kia,Picanto,Picanto GT-Line ISG,3,JA,44165,NULL,Petrol,Car,NULL,Hatchback,5,NULL,ICE,998,1,Turbocharged,73,98,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-ANSDN,Mazda,MX-30,MX-30 GT Sport Tech EV,1,DR,44243,NULL,Electric,Car,NULL,SUV Coupe,5,NULL,BEV,NULL,-1,N/A,106,143,1,Automatic,4x2,Front,35,BEV,Current,TRUE,109
M-ANWGJ,Ford,Transit Courier,Transit Courier Trend TDCi,5,B460,43292,NULL,Diesel,LCV,Low Roof,Panel Van,NULL,1810,ICE,1499,1.5,Turbocharged,55,74,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-APFTH,Mercedes-Benz,Sprinter,Sprinter 314 Progressive CDi,NULL,VS30,44091,NULL,Diesel,LCV,Standard Roof,Chassis Cab,NULL,3500,ICE,2143,2.1,Turbocharged,105,140,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,89
M-APLDE,Toyota,Land Cruiser,Land Cruiser Utility Commercial,1,J150,44377,NULL,Diesel,LCV,Standard Roof,Car Derived Van,NULL,2930,ICE,2755,2.8,Turbocharged,150,201,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,90
M-APSFA,Ford,Ranger,Ranger Limited Edition EcoBlue 4x4,5,P375,43609,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,90
M-AQEWK,Fiat,Ducato,Auto-Trail Imala 730,NULL,290/295,43896,NULL,Diesel,Car,Standard Roof,Motor Caravan,NULL,3500,ICE,2287,2.3,Turbocharged,104,140,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,91
M-AQQSR,Iveco,Daily,Daily 35S21 Auto,NULL,MY2014,45093,NULL,Diesel,LCV,Standard Roof,Chassis Cab,NULL,3500,ICE,2998,3,Turbocharged,155,207,8,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,92
M-ARDYX,Peugeot,Rifter,Rifter Allure Blue HDi S/S,3,K9,44209,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-ARZXL,Citroen,C4,C4 Sense Blue HDi S/S,NULL,C41,44575,NULL,Diesel,Car,NULL,Hatchback,5,NULL,ICE,1499,1.5,Turbocharged,81,108,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,84
M-AVAFZ,Audi,TT,TT RS TFSI Quattro Semi-Auto,NULL,FVP,43746,NULL,Petrol,Car,NULL,Coupe,3,NULL,ICE,2480,2.5,Turbocharged,294,394,7,Semi Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,88
M-AVBZC,Ford,Tourneo Custom,Tourneo Custom 320 Titanium EcoBlue,1,V362,43677,NULL,Diesel,VDC,NULL,Van Derived Car,4,3200,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-AVQLD,Iveco,Daily,Daily 35C14,NULL,MY2014,44952,NULL,Diesel,LCV,Standard Roof,Chassis Cab,NULL,3500,ICE,2287,2.3,Turbocharged,100,134,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,130
M-AWYVC,Toyota,Proace Verso,Proace Verso Combi L1 D-4D,3,PV1,44243,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,88,118,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-AYBFK,Ford,Transit Custom,Transit Custom 300 Trail EcoBlue,6,V362,44104,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3000,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-AZCXR,Ford,Transit,Transit 350 Trend EcoBlue,5,V363,43682,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,3500,ICE,1996,2,Turbocharged,125,167,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
M-BABKX,Mercedes-Benz,Vito,Vito 114 Progressive CDi Auto,3,VS20,44069,NULL,Diesel,LCV,Standard Roof,Panel Van,NULL,2800,ICE,1950,2,Turbocharged,100,134,9,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,89
M-BAGAV,Renault,Trafic,Trafic SL28 Business Blue dCi,4,X82,44407,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,81,108,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-BBBQS,Renault,Trafic,Trafic LL30 Business Blue dCi,4,X82,44681,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,110,147,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,90
M-BBVEP,Citroen,SpaceTourer,Spacetourer Feel Blue HDi S/S Auto,1,K01,44187,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,90,121,8,Automatic,4x2,Front,NULL,ICE,Current,TRUE,89
M-BHRKH,Citroen,SpaceTourer,Spacetourer Business Blue HDi S/S,1,K01,44103,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,88,118,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,89
